label,ImageId
7,1
3,2
8,3
9,4
3,5
8,6
7,7
7,8
5,9
6,10
2,11
5,12
5,13
3,14
1,15
7,16
2,17
8,18
0,19
7,20
3,21
3,22
7,23
0,24
6,25
1,26
3,27
3,28
3,29
6,30
0,31
8,32
9,33
9,34
5,35
1,36
8,37
7,38
8,39
8,40
0,41
1,42
2,43
7,44
6,45
5,46
5,47
7,48
2,49
0,50
1,51
9,52
9,53
3,54
0,55
6,56
2,57
6,58
6,59
4,60
8,61
8,62
8,63
4,64
0,65
2,66
4,67
7,68
7,69
3,70
4,71
0,72
1,73
4,74
8,75
4,76
3,77
0,78
0,79
4,80
6,81
3,82
6,83
1,84
7,85
4,86
8,87
6,88
6,89
1,90
7,91
5,92
1,93
6,94
3,95
8,96
9,97
1,98
0,99
5,100
8,101
8,102
9,103
4,104
4,105
4,106
4,107
4,108
2,109
9,110
5,111
1,112
5,113
1,114
3,115
4,116
4,117
2,118
1,119
1,120
7,121
2,122
8,123
2,124
7,125
0,126
4,127
0,128
9,129
3,130
5,131
2,132
3,133
5,134
1,135
1,136
4,137
0,138
2,139
2,140
7,141
3,142
8,143
2,144
9,145
9,146
5,147
0,148
4,149
8,150
2,151
1,152
9,153
7,154
9,155
4,156
0,157
1,158
8,159
0,160
4,161
6,162
0,163
7,164
8,165
0,166
7,167
5,168
1,169
8,170
5,171
8,172
2,173
4,174
9,175
4,176
0,177
1,178
2,179
1,180
3,181
1,182
7,183
0,184
8,185
1,186
5,187
7,188
9,189
9,190
8,191
8,192
0,193
1,194
5,195
7,196
4,197
3,198
7,199
4,200
4,201
2,202
1,203
9,204
2,205
2,206
1,207
2,208
0,209
4,210
2,211
5,212
1,213
6,214
6,215
8,216
3,217
3,218
2,219
5,220
2,221
8,222
1,223
6,224
0,225
8,226
9,227
4,228
0,229
5,230
3,231
4,232
3,233
3,234
6,235
7,236
8,237
3,238
7,239
5,240
2,241
3,242
8,243
0,244
1,245
3,246
9,247
0,248
9,249
5,250
9,251
7,252
1,253
3,254
4,255
7,256
8,257
8,258
9,259
5,260
5,261
0,262
9,263
6,264
6,265
1,266
9,267
2,268
6,269
8,270
5,271
7,272
9,273
7,274
7,275
0,276
2,277
2,278
9,279
5,280
7,281
1,282
0,283
9,284
7,285
4,286
5,287
0,288
7,289
2,290
2,291
5,292
3,293
5,294
2,295
1,296
8,297
0,298
4,299
6,300
3,301
2,302
6,303
3,304
7,305
8,306
1,307
7,308
5,309
2,310
9,311
0,312
7,313
1,314
5,315
4,316
0,317
7,318
7,319
9,320
7,321
5,322
3,323
4,324
9,325
4,326
1,327
3,328
9,329
0,330
4,331
0,332
3,333
2,334
4,335
0,336
7,337
0,338
8,339
0,340
0,341
2,342
6,343
4,344
9,345
7,346
6,347
1,348
9,349
6,350
0,351
5,352
8,353
7,354
1,355
9,356
9,357
1,358
1,359
4,360
2,361
0,362
6,363
1,364
1,365
5,366
6,367
2,368
0,369
6,370
0,371
4,372
3,373
9,374
1,375
1,376
0,377
2,378
5,379
8,380
0,381
9,382
9,383
2,384
3,385
7,386
4,387
5,388
0,389
1,390
9,391
1,392
9,393
6,394
